"country","fee"
LS,50
PM,50
KH,49
LA,48
MG,47
VN,46
LK,44
MM,44
FK,42
SY,41
MU,40
IQ,39
BW,38
GY,38
BD,37
RS,37
LI,37
RE,37
TH,36
BA,36
CN,34
MK,33
TW,32
ID,32
AO,32
FJ,32
CH,31
LY,31
MD,31
ZA,30
NR,30
DZ,30
PK,29
NF,29
TN,28
KZ,27
IN,27
KR,25
JP,24
MY,24
BN,24
VU,23
CI,21
NA,21
JO,20
AL,20
AD,20
AT,20
BY,20
BE,20
BG,20
HR,20
CY,20
CZ,20
DK,20
EE,20
FI,20
FR,20
DE,20
GR,20
HU,20
IS,20
IE,20
IT,20
LV,20
LT,20
LU,20
MT,20
NL,20
PL,20
PT,20
RO,20
SK,20
SI,20
ES,20
SE,20
UA,20
GB,20
VA,20
NI,18
ZW,18
MW,18
IL,17
PH,17
ZM,17
MZ,16
NO,16
VE,15
NG,14
TD,13
GQ,13
CM,12
CD,11
